Time,BestBid,BestAsk,MidPrice,Spread,Imbalance
12:25:06,91357.4,91351,91354.2,-6.41,-0.960741
12:25:06,91357.4,91345,91351.2,-12.4,-0.969109
12:25:06,91357.4,91345,91351.2,-12.4,-0.969109
12:25:06,91357.4,91345,91351.2,-12.4,-0.825882
12:25:06,91357.4,91345,91351.2,-12.4,-0.783968
12:25:06,91357.4,91345,91351.2,-12.4,-0.771913
12:25:06,91357.4,91345,91351.2,-12.4,-0.762722
12:25:06,91357.4,91345,91351.2,-12.4,-0.740611
12:25:07,91357.4,91345,91351.2,-12.4,-0.380846
12:25:07,91357.4,91345,91351.2,-12.4,-0.385483
12:25:07,91357.4,91345,91351.2,-12.4,-0.412133
12:25:08,91357.4,91345,91351.2,-12.4,-0.412036
12:25:09,91357.4,91345,91351.2,-12.4,-0.873203
12:25:09,91357.4,91345,91351.2,-12.4,-0.743982
12:25:10,91357.4,91345,91351.2,-12.4,-0.974129
12:25:10,91357.4,91345,91351.2,-12.4,-0.97577
12:25:10,91357.4,91340.5,91348.9,-16.93,-0.813969
12:25:10,91357.4,91340.5,91348.9,-16.93,-0.663133
12:25:10,91357.4,91340.5,91348.9,-16.93,-0.981666
12:25:10,91357.4,91340,91348.7,-17.4,-0.986909
12:25:10,91357.4,91340,91348.7,-17.4,-0.988681
12:25:10,91357.4,91340,91348.7,-17.4,-0.988681
12:25:10,91357.4,91338,91347.7,-19.4,-0.988793
12:25:10,91357.4,91338,91347.7,-19.4,-0.849004
12:25:10,91357.4,91338,91347.7,-19.4,-0.849004
12:25:10,91357.4,91331.4,91344.4,-26.04,-0.749755
12:25:10,91357.4,91331.4,91344.4,-26.04,-0.573172
12:25:10,91357.4,91331.4,91344.4,-26.04,-0.594447
12:25:11,91357.4,91331.4,91344.4,-26.04,-0.587044
12:25:11,91357.4,91331.4,91344.4,-26.04,-0.58755
12:25:11,91357.4,91331.4,91344.4,-26.04,-0.243489
12:25:12,91357.4,91331.4,91344.4,-26.04,-0.244025
12:25:12,91357.4,91331.4,91344.4,-26.04,-0.246747
