Time,Position,PnL
12:24:01,1.57,-1.11037
12:24:01,1.58,-1.11642
12:24:01,1.59,-1.12243
12:24:01,1.6,-1.1284
12:24:02,1.61,-1.13434
12:24:02,1.62,-1.14024
12:24:02,1.63,-1.1461
12:24:02,1.64,-1.15193
12:24:02,1.65,-1.15772
12:24:03,1.66,-1.16348
12:24:03,1.67,-1.1692
12:24:03,1.68,-1.17489
12:24:03,1.69,-1.18054
12:24:03,1.7,-1.18616
12:24:03,1.71,-1.19175
12:24:03,1.72,-1.1973
12:24:03,1.73,-1.20282
12:24:04,1.74,-1.20832
12:24:04,1.75,-1.21377
12:24:04,1.76,-1.2192
12:24:04,1.77,-1.2246
12:24:04,1.78,-1.22997
12:24:04,1.79,-1.2353
12:24:04,1.8,-1.24061
12:24:05,1.81,-1.24588
12:24:05,1.82,-1.25113
12:24:05,1.83,-1.25635
12:24:05,1.84,-1.26154
12:24:05,1.85,-1.2667
12:24:05,1.86,-1.27184
12:24:05,1.87,-1.27695
12:24:05,1.88,-1.28202
12:24:05,1.89,-1.28708
12:24:05,1.9,-1.2921
12:24:05,1.91,-1.2971
12:24:05,1.92,-1.30207
12:24:05,1.93,-1.30702
12:24:05,1.94,-1.31194
12:24:06,1.95,-1.31684
12:24:06,1.96,-1.32171
12:24:06,1.97,-1.32656
12:24:06,1.98,-1.33138
12:24:06,1.99,-1.33618
12:24:06,2,-1.34095
12:24:06,2.01,-1.3457
12:24:06,2.02,-1.35042
12:24:06,2.03,-1.35513
12:24:06,2.04,-1.3598
12:24:06,2.05,-1.36446
12:24:06,2.06,-1.36909
12:24:07,2.07,-1.37371
12:24:07,2.08,-1.37829
12:24:07,2.09,-1.38286
12:24:07,2.1,-1.38741
12:24:07,2.11,-1.39193
12:24:07,2.12,-1.39643
12:24:07,2.13,-1.40091
12:24:07,2.14,-1.40537
12:24:07,2.15,-1.40981
12:24:08,2.16,-1.41423
12:24:08,2.17,-1.41862
12:24:08,2.18,-1.423
12:24:08,2.19,-1.42736
12:24:08,2.2,-1.4317
12:24:08,2.21,-1.43601
12:24:08,2.22,-1.44031
12:24:08,2.23,-1.44459
12:24:08,2.24,-1.44885
12:24:08,2.25,-1.45309
12:24:08,2.26,-1.45731
12:24:08,2.27,-1.46151
12:24:08,2.28,-1.4657
12:24:08,2.29,-1.46986
12:24:09,2.3,-1.47401
12:24:09,2.31,-1.47814
12:24:09,2.32,-1.48225
12:24:09,2.33,-1.48635
12:24:09,2.34,-1.49042
12:24:09,2.35,-1.49448
12:24:09,2.36,-1.49883
12:24:09,2.37,-1.50315
12:24:09,2.38,-1.50765
12:24:09,2.39,-1.51224
12:24:09,2.4,-1.51681
12:24:09,2.41,-1.52136
12:24:09,2.42,-1.52589
12:24:09,2.43,-1.5304
12:24:09,2.44,-1.53489
12:24:09,2.45,-1.53936
12:24:09,2.46,-1.54382
12:24:10,2.47,-1.54825
12:24:10,2.48,-1.55267
12:24:10,2.49,-1.55707
12:24:10,2.5,-1.56146
12:24:10,2.51,-1.56582
12:24:10,2.52,-1.57017
12:24:10,2.53,-1.5745
12:24:10,2.54,-1.57882
12:24:10,2.55,-1.58312
12:24:10,2.56,-1.5874
12:24:10,2.57,-1.59166
12:24:10,2.58,-1.59591
12:24:10,2.59,-1.60014
12:24:10,2.6,-1.60435
12:24:10,2.61,-1.60855
12:24:10,2.62,-1.61273
12:24:10,2.63,-1.6169
12:24:10,2.64,-1.62105
12:24:10,2.65,-1.62519
12:24:10,2.66,-1.6293
12:24:10,2.67,-1.63341
12:24:10,2.68,-1.6375
12:24:10,2.69,-1.64157
12:24:10,2.7,-1.64563
12:24:10,2.71,-1.64967
12:24:10,2.72,-1.6537
12:24:11,2.73,-1.65771
12:24:11,2.74,-1.66171
12:24:11,2.75,-1.66569
12:24:11,2.76,-1.66966
12:24:11,2.77,-1.67362
12:24:11,2.78,-1.67756
12:24:11,2.79,-1.68148
12:24:11,2.8,-1.6854
12:24:11,2.81,-1.68929
12:24:11,2.82,-1.69318
12:24:11,2.83,-1.69705
12:24:11,2.84,-1.70091
12:24:11,2.85,-1.70475
12:24:12,2.86,-1.70858
12:24:12,2.87,-1.7124
12:24:12,2.88,-1.7162
12:24:12,2.89,-1.71999
12:24:12,2.9,-1.72377
12:24:12,2.91,-1.72753
12:24:12,2.92,-1.73128
12:24:12,2.93,-1.73502
12:24:12,2.94,-1.73875
12:24:12,2.95,-1.74246
