Time,Position_BTC,PnL_USD
23:05:55,0.68,-847.675
23:05:55,0.67,-847.782
23:05:55,0.66,-847.891
23:05:55,0.65,-848.002
23:05:55,0.64,-848.114
23:05:55,0.63,-848.228
23:05:55,0.62,-848.344
23:05:55,0.61,-848.462
23:05:55,0.6,-848.582
23:05:55,0.59,-848.704
23:05:55,0.58,-848.827
23:05:55,0.57,-848.953
23:05:55,0.56,-849.081
23:05:55,0.55,-849.212
23:05:55,0.54,-849.345
23:05:55,0.53,-849.48
23:05:57,0.52,-849.618
23:05:57,0.51,-849.758
23:05:57,0.5,-849.901
23:05:57,0.49,-850.048
23:05:57,0.48,-850.197
23:05:57,0.47,-850.349
23:05:57,0.46,-850.504
23:05:57,0.45,-850.663
23:05:57,0.44,-850.825
23:05:57,0.43,-850.991
23:05:57,0.42,-851.161
23:05:57,0.41,-851.335
23:05:57,0.4,-851.513
23:05:57,0.39,-851.696
23:05:57,0.38,-851.883
23:05:57,0.37,-852.075
23:05:57,0.36,-852.273
23:05:57,0.35,-852.476
23:05:57,0.34,-852.685
23:05:57,0.33,-852.899
23:05:57,0.32,-853.121
23:05:57,0.31,-853.349
23:05:57,0.3,-853.585
23:05:57,0.29,-853.828
23:05:57,0.28,-854.08
23:05:57,0.27,-854.341
23:05:58,0.26,-854.611
23:05:58,0.25,-854.892
23:05:58,0.24,-855.185
23:05:58,0.23,-855.489
23:05:58,0.22,-855.806
23:05:58,0.21,-856.138
23:05:58,0.22,-855.791
23:05:58,0.23,-855.459
23:05:58,0.24,-855.141
23:05:58,0.25,-854.837
23:05:58,0.26,-854.545
23:05:58,0.27,-854.264
23:05:58,0.28,-853.994
23:05:58,0.29,-853.733
23:05:58,0.3,-853.481
23:05:58,0.31,-853.238
23:05:58,0.32,-853.002
23:05:59,0.31,-853.174
23:05:59,0.3,-853.351
23:05:59,0.29,-853.534
23:05:59,0.28,-853.723
23:05:59,0.27,-853.919
23:05:59,0.26,-854.123
23:05:59,0.25,-854.334
23:05:59,0.24,-854.554
23:05:59,0.23,-854.782
