Time,GrossPnL_USD,NetPnL_USD,Fees_USD
16:06:16,-1.10595e-11,-1.10595e-11,0
16:06:16,-1.16415e-11,-1.16415e-11,0
16:06:16,-1.22236e-11,-1.22236e-11,0
16:06:16,-1.28057e-11,-1.28057e-11,0
16:06:16,-1.33878e-11,-1.33878e-11,0
16:06:16,-1.39698e-11,-1.39698e-11,0
16:06:16,-1.45519e-11,-1.45519e-11,0
16:06:16,-1.5134e-11,-1.5134e-11,0
16:06:16,-1.57161e-11,-1.57161e-11,0
16:06:16,-1.62981e-11,-1.62981e-11,0
16:06:16,-1.68802e-11,-1.68802e-11,0
16:06:16,-1.74623e-11,-1.74623e-11,0
16:06:16,-1.80444e-11,-1.80444e-11,0
16:06:16,-1.86265e-11,-1.86265e-11,0
16:06:16,-1.92085e-11,-1.92085e-11,0
16:06:16,-1.97906e-11,-1.97906e-11,0
16:06:16,-2.03727e-11,-2.03727e-11,0
16:06:16,-2.09548e-11,-2.09548e-11,0
16:06:16,-2.15368e-11,-2.15368e-11,0
16:06:16,-2.21189e-11,-2.21189e-11,0
16:06:16,-2.2701e-11,-2.2701e-11,0
16:06:16,-2.32831e-11,-2.32831e-11,0
16:06:16,-2.38651e-11,-2.38651e-11,0
16:06:16,-2.44472e-11,-2.44472e-11,0
16:06:16,-2.50293e-11,-2.50293e-11,0
16:06:16,-2.57569e-11,-2.57569e-11,0
16:06:16,-2.6339e-11,-2.6339e-11,0
16:06:16,-2.6921e-11,-2.6921e-11,0
16:06:16,-2.75031e-11,-2.75031e-11,0
16:06:16,-2.79397e-11,-2.79397e-11,0
16:06:16,-2.83762e-11,-2.83762e-11,0
16:06:16,-2.88128e-11,-2.88128e-11,0
16:06:16,-2.92493e-11,-2.92493e-11,0
16:06:16,-2.98314e-11,-2.98314e-11,0
16:06:16,-3.04135e-11,-3.04135e-11,0
16:06:16,-3.09956e-11,-3.09956e-11,0
16:06:16,-3.15777e-11,-3.15777e-11,0
16:06:16,-3.21597e-11,-3.21597e-11,0
16:06:16,-3.28873e-11,-3.28873e-11,0
16:06:16,-3.36149e-11,-3.36149e-11,0
16:06:16,-3.43425e-11,-3.43425e-11,0
16:06:16,-3.50701e-11,-3.50701e-11,0
16:06:16,-3.57977e-11,-3.57977e-11,0
16:06:16,-3.65253e-11,-3.65253e-11,0
16:06:16,-3.72529e-11,-3.72529e-11,0
16:06:16,-3.79805e-11,-3.79805e-11,0
16:06:16,-3.87081e-11,-3.87081e-11,0
16:06:16,-3.94357e-11,-3.94357e-11,0
16:06:16,-4.01633e-11,-4.01633e-11,0
16:06:16,-4.08909e-11,-4.08909e-11,0
16:06:16,-4.16185e-11,-4.16185e-11,0
16:06:16,-4.23461e-11,-4.23461e-11,0
16:06:16,-4.30737e-11,-4.30737e-11,0
16:06:16,-4.38013e-11,-4.38013e-11,0
16:06:16,-4.45289e-11,-4.45289e-11,0
16:06:16,-4.52565e-11,-4.52565e-11,0
16:06:16,-4.59841e-11,-4.59841e-11,0
16:06:16,-4.67116e-11,-4.67116e-11,0
16:06:16,-4.74392e-11,-4.74392e-11,0
16:06:16,-4.81668e-11,-4.81668e-11,0
16:06:16,-4.88944e-11,-4.88944e-11,0
16:06:16,-4.9622e-11,-4.9622e-11,0
16:06:17,-5.03496e-11,-5.03496e-11,0
16:06:17,-5.10772e-11,-5.10772e-11,0
16:06:17,-5.18048e-11,-5.18048e-11,0
16:06:17,-5.25324e-11,-5.25324e-11,0
16:06:18,-5.326e-11,-5.326e-11,0
16:06:18,-5.39876e-11,-5.39876e-11,0
16:06:18,-5.47152e-11,-5.47152e-11,0
16:06:18,-5.54428e-11,-5.54428e-11,0
16:06:18,-5.61704e-11,-5.61704e-11,0
16:06:18,-5.6898e-11,-5.6898e-11,0
16:06:18,-5.76256e-11,-5.76256e-11,0
16:06:18,-5.83532e-11,-5.83532e-11,0
16:06:18,-5.90808e-11,-5.90808e-11,0
16:06:18,-5.98084e-11,-5.98084e-11,0
16:06:18,-6.0536e-11,-6.0536e-11,0
16:06:18,-6.12636e-11,-6.12636e-11,0
16:06:18,-6.19912e-11,-6.19912e-11,0
