Time,BestBid_USD,BestAsk_USD,MidPrice_USD,Spread_USD,Imbalance
16:07:36,91478.3,91478.3,91478.3,0.01,0.00899305
16:07:37,91478.3,91478.3,91478.3,0.01,-0.0401697
16:07:37,91478.3,91478.3,91478.3,0.01,-0.186151
16:07:38,91478.3,91478.3,91478.3,0.01,-0.343735
16:07:38,91478.3,91478.3,91478.3,0.01,-0.335574
16:07:38,91478.3,91478.3,91478.3,0.01,-0.396046
16:07:39,91478.3,91478.3,91478.3,0.01,-0.286708
16:07:40,91478.3,91478.3,91478.3,0.01,-0.136873
16:07:41,91478.3,91478.3,91478.3,0.01,-0.110005
16:07:41,91478.3,91478.3,91478.3,0.01,0.186673
16:07:42,91478.3,91478.3,91478.3,0.01,0.179953
16:07:43,91478.3,91478.3,91478.3,0.01,0.178321
16:07:44,91478.3,91478.3,91478.3,0.01,0.185563
16:07:46,91478.3,91478.3,91478.3,0.01,0.18539
16:07:47,91478.3,91478.3,91478.3,0.01,0.10601
16:07:48,91478.3,91478.3,91478.3,0.01,0.152336
16:07:49,91478.3,91478.3,91478.3,0.01,0.216096
16:07:50,91478.3,91478.3,91478.3,0.01,0.168932
16:07:51,91478.3,91478.3,91478.3,0.01,0.0779018
16:07:51,91478.3,91478.3,91478.3,0.01,-0.228398
16:07:52,91478.3,91478.3,91478.3,0.01,-0.0705832
16:07:54,91478.3,91478.3,91478.3,0.01,-0.231623
16:07:55,91478.3,91478.3,91478.3,0.01,-0.232351
16:07:56,91478.3,91478.3,91478.3,0.01,-0.195736
16:07:56,91478.3,91478.3,91478.3,0.01,-0.0415256
16:07:57,91478.3,91478.3,91478.3,0.01,0.217757
16:07:58,91478.3,91478.3,91478.3,0.01,0.217868
16:07:59,91478.3,91478.3,91478.3,0.01,0.226151
16:08:00,91478.3,91478.3,91478.3,0.01,0.257221
16:08:02,91478.3,91478.3,91478.3,0.01,0.257241
16:08:03,91478.3,91478.3,91478.3,0.01,0.307999
16:08:04,91478.3,91478.3,91478.3,0.01,0.320643
16:08:04,91478.3,91478.3,91478.3,0,0.832656
16:08:04,91478.3,91478.3,91478.3,0.01,0.996325
16:08:04,91478.3,91478.3,91478.3,0.01,0.996325
16:08:04,91480,91478.3,91479.2,-1.66,0.996306
16:08:04,91480,91480,91480,0.01,0.990613
16:08:04,91480,91480,91480,0.01,0.961834
16:08:05,91480,91480,91480,0.01,0.963327
16:08:05,91480,91480,91480,0.01,0.961173
16:08:05,91480,91480,91480,0.01,0.961693
16:08:06,91487.3,91480,91483.6,-7.27,0.9726
16:08:06,91487.3,91487.3,91487.3,0,0.962909
16:08:06,91487.3,91487.3,91487.3,0.01,0.979237
16:08:06,91487.3,91487.3,91487.3,0.01,0.977448
16:08:06,91487.3,91487.3,91487.3,0.01,0.978983
16:08:06,91487.3,91487.3,91487.3,0.01,0.977825
16:08:07,91487.3,91487.3,91487.3,0.01,0.847225
